Bridge Site,Home Village - Admin Code,respondent_count,proportion
Gahororo,24030501,205,0.2077001013171226
Gahororo,24030505,131,0.13272543059777103
Gahororo,24030502,99,0.10030395136778116
Gahororo,24030306,90,0.0911854103343465
Gahororo,24030203,89,0.09017223910840932
Gahororo,24030202,76,0.07700101317122594
Gahororo,24030205,76,0.07700101317122594
Gahororo,24030201,72,0.0729483282674772
Gahororo,24030204,61,0.06180344478216818
Gahororo,24030504,33,0.03343465045592705
Gahororo,23140303,11,0.011144883485309016
Gahororo,24030503,10,0.010131712259371834
Gahororo,24030101,8,0.008105369807497468
Gahororo,24030307,6,0.0060790273556231
Gahororo,24060402,5,0.005065856129685917
Gahororo,23140501,4,0.004052684903748734
Gahororo,23140302,2,0.002026342451874367
Gahororo,24010202,2,0.002026342451874367
Gahororo,24020403,2,0.002026342451874367
Gahororo,24010101,1,0.0010131712259371835
Gahororo,24020108,1,0.0010131712259371835
Gahororo,24020109,1,0.0010131712259371835
Gahororo,24070508,1,0.0010131712259371835
Gahororo,24090103,1,0.0010131712259371835
Gasasa,35010301,336,0.5647058823529412
Gasasa,35050105,107,0.17983193277310924
Gasasa,35010303,37,0.06218487394957983
Gasasa,35030104,21,0.03529411764705882
Gasasa,35010302,15,0.025210084033613446
Gasasa,32130401,11,0.018487394957983194
Gasasa,35030304,10,0.01680672268907563
Gasasa,35080506,8,0.013445378151260505
Gasasa,350101,6,0.010084033613445379
Gasasa,35010403,6,0.010084033613445379
Gasasa,351306,6,0.010084033613445379
Gasasa,350103,5,0.008403361344537815
Gasasa,351303,4,0.0067226890756302525
Gasasa,35130605,4,0.0067226890756302525
Gasasa,35130306,3,0.005042016806722689
Gasasa,35010104,2,0.0033613445378151263
Gasasa,35130301,2,0.0033613445378151263
Gasasa,35130302,2,0.0033613445378151263
Gasasa,31110804,1,0.0016806722689075631
Gasasa,3204,1,0.0016806722689075631
Gasasa,3501,1,0.0016806722689075631
Gasasa,350205,1,0.0016806722689075631
Gasasa,350206,1,0.0016806722689075631
Gasasa,35020604,1,0.0016806722689075631
Gasasa,35030504,1,0.0016806722689075631
Gasasa,35130305,1,0.0016806722689075631
Gasasa,35130601,1,0.0016806722689075631
Gasasa,37040503,1,0.0016806722689075631
Kanyarira,26020401,119,0.2526539278131635
Kanyarira,27090402,49,0.1040339702760085
Kanyarira,43110202,46,0.09766454352441614
Kanyarira,27080303,29,0.06157112526539278
Kanyarira,27080101,26,0.055201698513800426
Kanyarira,26070605,23,0.04883227176220807
Kanyarira,27080202,19,0.040339702760084924
Kanyarira,26020404,18,0.03821656050955414
Kanyarira,26070405,14,0.029723991507430998
Kanyarira,26070603,14,0.029723991507430998
Kanyarira,26070602,12,0.025477707006369428
Kanyarira,26020111,10,0.021231422505307854
Kanyarira,26070401,10,0.021231422505307854
Kanyarira,26070607,10,0.021231422505307854
Kanyarira,26070606,7,0.014861995753715499
Kanyarira,27080201,7,0.014861995753715499
Kanyarira,26020103,6,0.012738853503184714
Kanyarira,26070601,6,0.012738853503184714
Kanyarira,26070604,6,0.012738853503184714
Kanyarira,31070303,6,0.012738853503184714
Kanyarira,26070202,4,0.008492569002123142
Kanyarira,26070203,4,0.008492569002123142
Kanyarira,26070406,4,0.008492569002123142
Kanyarira,11030309,2,0.004246284501061571
Kanyarira,26020203,2,0.004246284501061571
Kanyarira,26030103,2,0.004246284501061571
Kanyarira,26070402,2,0.004246284501061571
Kanyarira,27050206,2,0.004246284501061571
Kanyarira,27120101,2,0.004246284501061571
Kanyarira,11090307,1,0.0021231422505307855
Kanyarira,21010412,1,0.0021231422505307855
Kanyarira,26020407,1,0.0021231422505307855
Kanyarira,26030105,1,0.0021231422505307855
Kanyarira,26040301,1,0.0021231422505307855
Kanyarira,26070403,1,0.0021231422505307855
Kanyarira,26090215,1,0.0021231422505307855
Kanyarira,28010306,1,0.0021231422505307855
Kanyarira,33040403,1,0.0021231422505307855
Kanyarira,35010101,1,0.0021231422505307855
Muhembe,3503,124,0.27074235807860264
Muhembe,35050301,66,0.14410480349344978
Muhembe,35070105,43,0.09388646288209607
Muhembe,35030104,42,0.09170305676855896
Muhembe,35050601,41,0.08951965065502183
Muhembe,35100502,36,0.07860262008733625
Muhembe,35030101,33,0.07205240174672489
Muhembe,35020103,18,0.039301310043668124
Muhembe,35080602,14,0.03056768558951965
Muhembe,350506,10,0.021834061135371178
Muhembe,350301,3,0.006550218340611353
Muhembe,350402,3,0.006550218340611353
Muhembe,351105,3,0.006550218340611353
Muhembe,350403,2,0.004366812227074236
Muhembe,350602,2,0.004366812227074236
Muhembe,35090603,2,0.004366812227074236
Muhembe,35110504,2,0.004366812227074236
Muhembe,35130202,2,0.004366812227074236
Muhembe,37040503,2,0.004366812227074236
Muhembe,42010604,2,0.004366812227074236
Muhembe,35,1,0.002183406113537118
Muhembe,3505,1,0.002183406113537118
Muhembe,35050602,1,0.002183406113537118
Muhembe,35050603,1,0.002183406113537118
Muhembe,3507,1,0.002183406113537118
Muhembe,35070501,1,0.002183406113537118
Muhembe,35110501,1,0.002183406113537118
Muhembe,35110601,1,0.002183406113537118
Muregeya,32100505,147,0.44954128440366975
Muregeya,31090603,64,0.19571865443425077
Muregeya,32100203,23,0.07033639143730887
Muregeya,32100406,14,0.04281345565749235
Muregeya,31100505,12,0.03669724770642202
Muregeya,32100105,11,0.03363914373088685
Muregeya,32100403,10,0.03058103975535168
Muregeya,32080406,8,0.024464831804281346
Muregeya,31010402,5,0.01529051987767584
Muregeya,32020202,4,0.012232415902140673
Muregeya,31100102,3,0.009174311926605505
Muregeya,32060604,3,0.009174311926605505
Muregeya,11030309,2,0.0061162079510703364
Muregeya,31090107,2,0.0061162079510703364
Muregeya,31110203,2,0.0061162079510703364
Muregeya,32100106,2,0.0061162079510703364
Muregeya,32100405,2,0.0061162079510703364
Muregeya,31010104,1,0.0030581039755351682
Muregeya,31090305,1,0.0030581039755351682
Muregeya,31090506,1,0.0030581039755351682
Muregeya,31090602,1,0.0030581039755351682
Muregeya,31090805,1,0.0030581039755351682
Muregeya,31130402,1,0.0030581039755351682
Muregeya,32010407,1,0.0030581039755351682
Muregeya,32040107,1,0.0030581039755351682
Muregeya,32100204,1,0.0030581039755351682
Muregeya,32100307,1,0.0030581039755351682
Muregeya,32100401,1,0.0030581039755351682
Muregeya,32100503,1,0.0030581039755351682
Muregeya,41070105,1,0.0030581039755351682
Mutiwingoma,25100201,157,0.32172131147540983
Mutiwingoma,25080303,80,0.16393442622950818
Mutiwingoma,251002,64,0.13114754098360656
Mutiwingoma,25050404,32,0.06557377049180328
Mutiwingoma,2505,27,0.055327868852459015
Mutiwingoma,2508,16,0.03278688524590164
Mutiwingoma,251001,14,0.028688524590163935
Mutiwingoma,25050403,13,0.02663934426229508
Mutiwingoma,25050402,12,0.02459016393442623
Mutiwingoma,25050408,11,0.022540983606557378
Mutiwingoma,25140304,9,0.018442622950819672
Mutiwingoma,25080403,7,0.014344262295081968
Mutiwingoma,250504,6,0.012295081967213115
Mutiwingoma,25020106,4,0.00819672131147541
Mutiwingoma,25080304,4,0.00819672131147541
Mutiwingoma,25100102,4,0.00819672131147541
Mutiwingoma,25100203,4,0.00819672131147541
Mutiwingoma,2502,2,0.004098360655737705
Mutiwingoma,250403,2,0.004098360655737705
Mutiwingoma,250701,2,0.004098360655737705
Mutiwingoma,24,1,0.0020491803278688526
Mutiwingoma,2404,1,0.0020491803278688526
Mutiwingoma,240403,1,0.0020491803278688526
Mutiwingoma,2503,1,0.0020491803278688526
Mutiwingoma,25050107,1,0.0020491803278688526
Mutiwingoma,25050405,1,0.0020491803278688526
Mutiwingoma,2507,1,0.0020491803278688526
Mutiwingoma,25070503,1,0.0020491803278688526
Mutiwingoma,25080103,1,0.0020491803278688526
Mutiwingoma,25080201,1,0.0020491803278688526
Mutiwingoma,25080301,1,0.0020491803278688526
Mutiwingoma,25080405,1,0.0020491803278688526
Mutiwingoma,25100204,1,0.0020491803278688526
Mutiwingoma,2511,1,0.0020491803278688526
Mutiwingoma,2512,1,0.0020491803278688526
Mutiwingoma,2513,1,0.0020491803278688526
Mutiwingoma,2514,1,0.0020491803278688526
Mutiwingoma,35130403,1,0.0020491803278688526
Nyarusange,120603,365,0.323868677905945
Nyarusange,1102,262,0.23247559893522626
Nyarusange,11020304,95,0.08429458740017746
Nyarusange,120607,89,0.07897071872227152
Nyarusange,12060202,58,0.05146406388642413
Nyarusange,41160505,48,0.04259094942324756
Nyarusange,110202,31,0.027506654835847383
Nyarusange,41160407,22,0.019520851818988466
Nyarusange,11040316,18,0.015971606033717833
Nyarusange,4116,11,0.009760425909494233
Nyarusange,1,10,0.008873114463176575
Nyarusange,11020105,10,0.008873114463176575
Nyarusange,110203,8,0.00709849157054126
Nyarusange,120604,8,0.00709849157054126
Nyarusange,11090101,7,0.006211180124223602
Nyarusange,12060701,7,0.006211180124223602
Nyarusange,1206,6,0.005323868677905945
Nyarusange,11020306,4,0.00354924578527063
Nyarusange,35030104,4,0.00354924578527063
Nyarusange,110301,3,0.0026619343389529724
Nyarusange,12050210,3,0.0026619343389529724
Nyarusange,12050405,3,0.0026619343389529724
Nyarusange,120602,3,0.0026619343389529724
Nyarusange,35050105,3,0.0026619343389529724
Nyarusange,42,3,0.0026619343389529724
Nyarusange,110201,2,0.001774622892635315
Nyarusange,11020203,2,0.001774622892635315
Nyarusange,11030309,2,0.001774622892635315
Nyarusange,11080401,2,0.001774622892635315
Nyarusange,1204,2,0.001774622892635315
Nyarusange,12060302,2,0.001774622892635315
Nyarusange,35030304,2,0.001774622892635315
Nyarusange,35130305,2,0.001774622892635315
Nyarusange,411605,2,0.001774622892635315
Nyarusange,11010202,1,0.0008873114463176575
Nyarusange,11020104,1,0.0008873114463176575
Nyarusange,11020302,1,0.0008873114463176575
Nyarusange,1108,1,0.0008873114463176575
Nyarusange,1202,1,0.0008873114463176575
Nyarusange,12060401,1,0.0008873114463176575
Nyarusange,1209,1,0.0008873114463176575
Nyarusange,12100103,1,0.0008873114463176575
Nyarusange,12120406,1,0.0008873114463176575
Nyarusange,1213,1,0.0008873114463176575
Nyarusange,12150205,1,0.0008873114463176575
Nyarusange,13,1,0.0008873114463176575
Nyarusange,1303,1,0.0008873114463176575
Nyarusange,25160107,1,0.0008873114463176575
Nyarusange,28,1,0.0008873114463176575
Nyarusange,32130401,1,0.0008873114463176575
Nyarusange,3510,1,0.0008873114463176575
Nyarusange,351303,1,0.0008873114463176575
Nyarusange,370501,1,0.0008873114463176575
Nyarusange,41,1,0.0008873114463176575
Nyarusange,411601,1,0.0008873114463176575
Nyarusange,41160503,1,0.0008873114463176575
Rugeshi,35030104,286,0.23953098827470687
Rugeshi,35050105,234,0.19597989949748743
Rugeshi,35030304,222,0.18592964824120603
Rugeshi,35080506,106,0.08877721943048576
Rugeshi,350103,94,0.07872696817420435
Rugeshi,35010303,63,0.052763819095477386
Rugeshi,35130302,43,0.036013400335008376
Rugeshi,321304,25,0.020938023450586266
Rugeshi,350601,20,0.01675041876046901
Rugeshi,351303,16,0.01340033500837521
Rugeshi,32130401,15,0.01256281407035176
Rugeshi,350204,8,0.006700167504187605
Rugeshi,35130301,7,0.005862646566164154
Rugeshi,351306,6,0.005025125628140704
Rugeshi,3206,5,0.0041876046901172526
Rugeshi,35100206,4,0.0033500837520938024
Rugeshi,3501,3,0.002512562814070352
Rugeshi,35010301,3,0.002512562814070352
Rugeshi,35130101,3,0.002512562814070352
Rugeshi,351302,3,0.002512562814070352
Rugeshi,25070601,2,0.0016750418760469012
Rugeshi,35010304,2,0.0016750418760469012
Rugeshi,3505,2,0.0016750418760469012
Rugeshi,351001,2,0.0016750418760469012
Rugeshi,35100402,2,0.0016750418760469012
Rugeshi,35130201,2,0.0016750418760469012
Rugeshi,35130304,2,0.0016750418760469012
Rugeshi,35130306,2,0.0016750418760469012
Rugeshi,1,1,0.0008375209380234506
Rugeshi,120603,1,0.0008375209380234506
Rugeshi,35010302,1,0.0008375209380234506
Rugeshi,35010403,1,0.0008375209380234506
Rugeshi,35050301,1,0.0008375209380234506
Rugeshi,35090603,1,0.0008375209380234506
Rugeshi,35100103,1,0.0008375209380234506
Rugeshi,35100401,1,0.0008375209380234506
Rugeshi,35100405,1,0.0008375209380234506
Rugeshi,3512,1,0.0008375209380234506
Rugeshi,35120305,1,0.0008375209380234506
Rugeshi,35130606,1,0.0008375209380234506
Ruharazi,23110303,90,0.3813559322033898
Ruharazi,23110204,79,0.3347457627118644
Ruharazi,23110306,50,0.211864406779661
Ruharazi,23090203,6,0.025423728813559324
Ruharazi,23110102,6,0.025423728813559324
Ruharazi,23110202,4,0.01694915254237288
Ruharazi,23140201,1,0.00423728813559322
Rwamamara,35050602,285,0.46416938110749184
Rwamamara,35050601,87,0.14169381107491857
Rwamamara,35050604,73,0.11889250814332247
Rwamamara,35110506,54,0.08794788273615635
Rwamamara,35110501,35,0.057003257328990226
Rwamamara,35030101,16,0.026058631921824105
Rwamamara,35100105,14,0.02280130293159609
Rwamamara,35050603,12,0.019543973941368076
Rwamamara,35110503,10,0.016286644951140065
Rwamamara,11030309,5,0.008143322475570033
Rwamamara,35110502,5,0.008143322475570033
Rwamamara,33050306,3,0.004885993485342019
Rwamamara,35110301,3,0.004885993485342019
Rwamamara,33040403,2,0.003257328990228013
Rwamamara,35110505,2,0.003257328990228013
Rwamamara,24090103,1,0.0016286644951140066
Rwamamara,27080303,1,0.0016286644951140066
Rwamamara,34070203,1,0.0016286644951140066
Rwamamara,35030207,1,0.0016286644951140066
Rwamamara,35040308,1,0.0016286644951140066
Rwamamara,35110507,1,0.0016286644951140066
Rwamamara,3511502,1,0.0016286644951140066
Rwamamara,35120105,1,0.0016286644951140066
Rwimvubu,23070105,211,0.4442105263157895
Rwimvubu,23010503,87,0.1831578947368421
Rwimvubu,23010403,37,0.07789473684210527
Rwimvubu,23010504,32,0.06736842105263158
Rwimvubu,23070104,26,0.05473684210526316
Rwimvubu,23070202,13,0.02736842105263158
Rwimvubu,23010204,12,0.02526315789473684
Rwimvubu,23010405,7,0.014736842105263158
Rwimvubu,23010101,5,0.010526315789473684
Rwimvubu,23010506,4,0.008421052631578947
Rwimvubu,23070501,4,0.008421052631578947
Rwimvubu,23120104,4,0.008421052631578947
Rwimvubu,23010203,3,0.00631578947368421
Rwimvubu,23020201,3,0.00631578947368421
Rwimvubu,23030203,3,0.00631578947368421
Rwimvubu,23070103,3,0.00631578947368421
Rwimvubu,21010412,2,0.004210526315789474
Rwimvubu,23010502,2,0.004210526315789474
Rwimvubu,23010505,2,0.004210526315789474
Rwimvubu,23030501,2,0.004210526315789474
Rwimvubu,23030603,2,0.004210526315789474
Rwimvubu,24030306,2,0.004210526315789474
Rwimvubu,******,1,0.002105263157894737
Rwimvubu,23010301,1,0.002105263157894737
Rwimvubu,23020301,1,0.002105263157894737
Rwimvubu,23060103,1,0.002105263157894737
Rwimvubu,23110303,1,0.002105263157894737
Rwimvubu,23120502,1,0.002105263157894737
Rwimvubu,24010103,1,0.002105263157894737
Rwimvubu,24090103,1,0.002105263157894737
Rwimvubu,26070604,1,0.002105263157894737
Uwumugeti-Kigusa,25160302,114,0.22709163346613545
Uwumugeti-Kigusa,251605,92,0.18326693227091634
Uwumugeti-Kigusa,25160501,76,0.15139442231075698
Uwumugeti-Kigusa,25160510,52,0.10358565737051793
Uwumugeti-Kigusa,25160107,44,0.08764940239043825
Uwumugeti-Kigusa,25160301,30,0.05976095617529881
Uwumugeti-Kigusa,250905,29,0.05776892430278884
Uwumugeti-Kigusa,250904,21,0.04183266932270916
Uwumugeti-Kigusa,25160504,12,0.02390438247011952
Uwumugeti-Kigusa,25160509,11,0.021912350597609563
Uwumugeti-Kigusa,2506,4,0.00796812749003984
Uwumugeti-Kigusa,25090503,4,0.00796812749003984
Uwumugeti-Kigusa,250602,3,0.00597609561752988
Uwumugeti-Kigusa,251602,2,0.00398406374501992
Uwumugeti-Kigusa,1,1,0.00199203187250996
Uwumugeti-Kigusa,2313,1,0.00199203187250996
Uwumugeti-Kigusa,23130401,1,0.00199203187250996
Uwumugeti-Kigusa,25010202,1,0.00199203187250996
Uwumugeti-Kigusa,25080304,1,0.00199203187250996
Uwumugeti-Kigusa,251601,1,0.00199203187250996
